idx	X	Y
105	15234.66956917487	236.8651016372071
106	15234.72280021975	236.8650496489032
107	15234.37186076072	236.8914218895835
108	15234.64405865831	236.8653864344757
109	15220.92098450475	237.0286154233472
110	15221.34233108871	237.0005060634889
111	15220.91231790527	237.0571818946965
112	15220.89446461729	237.028796651371
113	15211.49725287426	237.115607093567
114	15211.46160686458	237.1165762593741
115	15207.96954954825	237.1149195686217
116	15211.57100015018	237.1733991473069
117	15207.70264439416	237.11919912749
118	15207.94376332793	237.1151395851835
119	15187.91935224934	237.3210950293734
120	15187.93154438741	237.3212747298147
121	15182.23639395446	237.3830195172174
122	15187.56272773448	237.3408437066522
123	15182.28532888111	237.3830269509903
124	15182.24078896527	237.3829804778047
125	15173.823660191	237.4812742138627
126	15174.82680609679	237.4757193525298
127	15173.94516671001	237.4798842293266
128	15173.84189038988	237.4809940493186
129	15169.8846474771	237.5387538256608
130	15170.17868012642	237.5351232760312
131	15169.56874791122	237.5443878719947
132	15169.86559964463	237.5389866424042
133	15166.47631958503	237.6213728987319
134	15166.45532006373	237.6216563788789
135	15165.65514786068	237.6259754486836
136	15165.89961381601	237.6123172976215
137	15153.68251962043	237.6959013292398
138	15153.54186569646	237.711128028116
139	15153.72135704571	237.6996167718568
140	15153.68251961943	237.6959013292334
141	15146.0186091845	237.7249815477102
142	15146.00770317254	237.725019857823
143	15143.67116551666	237.7288938440735
144	15145.95232766887	237.7303266836127
145	15143.71404110701	237.7288062971245
146	15143.66692716342	237.728680066537
147	15134.0501614621	237.8207935828482
148	15133.97574354914	237.8214574185901
149	15131.22650271708	237.8355855778059
150	15134.19480661364	237.8284057782372
151	15131.42610425847	237.836595193542
152	15131.17851341561	237.8361106567866
153	15128.17309486521	237.8645413547851
154	15128.14122605238	237.8647096457174
155	15125.86062693935	237.9149746456628
156	15128.14273987354	237.8689925292065
157	15126.07211405403	237.9195671855077
158	15125.8503040106	237.9151214005158
159	15103.49558549016	238.0256106983328
160	15103.47448288336	238.0258561233504
161	15102.5270398824	238.0371680462876
162	15102.5270398814	238.0371680462934
163	15099.60427015102	238.0969569689001
164	15099.5940503718	238.0970455019192
165	15096.58081076943	238.1438706474618
166	15099.62486769948	238.0976244388639
167	15097.07270977787	238.1494097721835
168	15096.97800972251	238.1466609964956
169	15089.67614571177	238.1671196882122
170	15090.43522696047	238.1855403950289
